"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2008";"     940"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2009";"     816"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2010";"     846"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2015";"     810"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2016";"     777"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2017";"     788"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2018";"     761"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2019";"     754"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2020";"     713"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2021*";"     785"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2007";"    1554"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2008";"    1541"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2009";"    1192"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2010";"    1238"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2015";"    1032"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2016";"    1220"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2017";"    1263"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2018";"    1007"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2019";"    1002"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2020";"     974"
"Totaal naar verwerking";"Totaal nuttige toepassing";"19-22 Raffinaderijen en chemie";"2021*";"    1035"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2007";"     939"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2008";"     987"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2009";"     638"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2010";"     695"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2015";"     353"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2016";"     443"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2017";"     529"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2018";"     379"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2019";"     383"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2020";"     393"
"Totaal naar verwerking";"Totaal nuttige toepassing";"20-21 Chemie en farmaceutische industrie";"2021*";"     413"
